1
91.0
84.0
85.0
84.0
85.0
85.0
87.0
86.0
86.0
85.0
84.0
86.0
85.0
86.0
84.0
86.0
85.0
86.0
86.0
86.0
86.0
85.0
86.0
86.0
86.0
87.0
85.0
85.0
83.0
83.0
86.0
86.0
85.0
85.0
85.0
85.0
86.0
86.0
85.0
85.0
83.0
83.0
86.0
87.0
85.0
89.0
88.0
88.0
87.0
87.0
86.0
87.0
86.0
85.0
84.0
88.0
86.0
87.0
89.0
85.0
85.0
84.0
86.0
86.0
85.0
86.0
88.0
86.0
87.0
87.0
86.0
86.0
86.0
88.0
90.0
87.0
87.0
88.0
85.0
86.0
85.0
87.0
87.0
89.0
88.0
87.0
85.0
85.0
87.0
89.0
86.0
86.0
86.0
88.0
88.0
87.0
89.0
89.0
87.0
88.0
