0
14.0
14.0
14.0
14.0
14.0
15.0
15.0
16.0
16.0
15.0
16.0
16.0
16.0
15.0
16.0
15.0
19.0
16.0
16.0
16.0
15.0
15.0
17.0
15.0
17.0
16.0
19.0
17.0
15.0
17.0
16.0
16.0
15.0
14.0
15.0
14.0
14.0
13.0
14.0
14.0
13.0
18.0
15.0
15.0
15.0
14.0
16.0
13.0
13.0
15.0
14.0
15.0
14.0
14.0
14.0
15.0
14.0
15.0
13.0
17.0
15.0
13.0
14.0
15.0
14.0
15.0
14.0
14.0
14.0
16.0
16.0
15.0
15.0
14.0
14.0
15.0
18.0
16.0
15.0
16.0
17.0
16.0
15.0
16.0
16.0
16.0
15.0
16.0
15.0
18.0
18.0
16.0
17.0
17.0
17.0
16.0
19.0
16.0
16.0
16.0
